number,temperature,pressure,acceleration
306,23.1875,1010.47,"[9.57129, -0.196133, -0.274586]"
307,23.625,1010.23,"[9.84587, -0.431492, -0.156906]"
308,23.1875,1010.48,"[9.57129, -0.0784532, -0.274586]"
309,23.625,1010.23,"[9.80664, -0.470719, -0.11768]"
310,23.1875,1010.48,"[9.49284, -0.196133, -0.274586]"
311,23.625,1010.23,"[9.84587, -0.392266, -0.0392266]"
312,23.1875,1010.49,"[9.45361, -0.0784532, -0.313813]"
313,23.5625,1010.24,"[9.76742, -0.431492, -0.11768]"
314,23.1875,1010.49,"[9.53206, -0.11768, 0.0]"
315,23.625,1010.24,"[9.68897, -0.470719, 0.0784532]"
316,23.1875,1010.49,"[9.53206, -0.0784532, -0.196133]"
317,23.625,1010.24,"[9.7282, -0.392266, 0.0]"
318,23.25,1010.49,"[9.53206, -0.156906, -0.196133]"
319,23.5625,1010.24,"[9.80664, -0.509946, -0.0784532]"
320,23.1875,1010.49,"[9.57129, -0.0784532, -0.274586]"
321,23.625,1010.24,"[9.7282, -0.392266, 0.0]"
322,23.1875,1010.49,"[9.57129, -0.11768, -0.156906]"
323,23.625,1010.24,"[9.76742, -0.392266, -0.0784532]"
324,23.1875,1010.49,"[9.53206, -0.11768, -0.196133]"
325,23.5625,1010.24,"[9.7282, -0.470719, -0.11768]"
326,23.1875,1010.49,"[9.57129, -0.156906, -0.274586]"
327,23.625,1010.24,"[9.7282, -0.392266, -0.0392266]"
328,23.1875,1010.49,"[9.53206, -0.0784532, -0.196133]"
329,23.1875,1010.49,"[9.57129, -0.0392266, -0.156906]"
330,23.625,1010.25,"[9.76742, -0.431492, -0.0784532]"
331,23.6875,1010.24,"[9.80664, -0.470719, -0.0784532]"
332,23.1875,1010.49,"[9.61051, -0.196133, -0.23536]"
333,23.625,1010.24,"[9.80664, -0.509946, 0.0392266]"
334,23.25,1010.49,"[9.37515, -0.0784532, -0.156906]"
335,23.625,1010.25,"[9.8851, -0.313813, -0.0392266]"
336,23.25,1010.49,"[9.45361, -0.11768, -0.23536]"
337,23.6875,1010.25,"[9.76742, -0.470719, -0.0784532]"
338,23.1875,1010.49,"[9.49284, -0.0784532, -0.196133]"
339,23.6875,1010.25,"[9.68897, -0.470719, -0.0784532]"
340,23.1875,1010.49,"[9.45361, -0.0784532, -0.196133]"
341,23.625,1010.24,"[9.84587, -0.509946, -0.196133]"
342,23.1875,1010.49,"[9.53206, -0.11768, -0.313813]"
343,23.625,1010.24,"[9.80664, -0.431492, 0.0]"
344,23.1875,1010.49,"[9.53206, -0.11768, -0.23536]"
345,23.625,1010.24,"[9.80664, -0.470719, -0.11768]"
346,23.625,1010.25,"[9.8851, -0.392266, -0.11768]"
347,23.1875,1010.49,"[9.45361, -0.0392266, -0.274586]"
348,23.625,1010.24,"[9.84587, -0.274586, -0.0784532]"
349,23.1875,1010.49,"[9.57129, -0.11768, -0.353039]"
350,23.6875,1010.24,"[9.80664, -0.392266, -0.0784532]"
351,23.625,1010.24,"[9.76742, -0.392266, -0.0784532]"
352,23.625,1010.25,"[9.80664, -0.431492, -0.0784532]"
353,23.625,1010.24,"[9.7282, -0.431492, 0.0]"
354,23.625,1010.24,"[9.76742, -0.470719, -0.0784532]"
355,23.25,1010.49,"[9.45361, -0.0784532, -0.23536]"
356,23.1875,1010.49,"[9.53206, 0.0, -0.274586]"
357,23.5625,1010.25,"[9.64974, -0.470719, -0.196133]"
358,23.1875,1010.49,"[9.57129, -0.11768, -0.156906]"
359,23.625,1010.25,"[9.8851, -0.509946, -0.23536]"
360,23.1875,1010.49,"[9.57129, -0.11768, -0.23536]"
361,23.625,1010.24,"[9.64974, -0.431492, 0.0]"
362,23.25,1010.49,"[9.53206, -0.0784532, -0.23536]"
363,23.625,1010.24,"[9.7282, -0.509946, -0.11768]"
364,23.1875,1010.49,"[9.53206, -0.156906, -0.23536]"
365,23.6875,1010.24,"[9.84587, -0.392266, 0.0]"
366,23.25,1010.49,"[9.53206, -0.0784532, -0.156906]"
367,23.625,1010.24,"[9.76742, -0.431492, -0.11768]"
368,23.1875,1010.49,"[9.53206, -0.11768, -0.313813]"
369,23.6875,1010.24,"[9.64974, -0.392266, -0.196133]"
370,23.25,1010.49,"[9.49284, -0.0784532, -0.274586]"
371,23.625,1010.24,"[9.96355, -0.274586, -0.0784532]"
372,23.1875,1010.49,"[9.53206, -0.0784532, -0.23536]"
373,23.625,1010.24,"[9.80664, -0.509946, -0.196133]"
374,23.1875,1010.49,"[9.49284, -0.0784532, -0.156906]"
375,23.625,1010.24,"[9.84587, -0.431492, -0.0392266]"
376,23.1875,1010.49,"[9.45361, -0.156906, -0.196133]"
377,23.625,1010.24,"[9.76742, -0.392266, -0.0392266]"
378,23.25,1010.48,"[9.61051, -0.156906, -0.23536]"
379,23.625,1010.24,"[9.76742, -0.470719, -0.0784532]"
380,23.3125,1010.5,"[9.57129, -0.23536, -0.156906]"
381,23.6875,1010.24,"[9.80664, -0.353039, 0.0]"
382,23.1875,1010.5,"[9.41438, 0.0, -0.196133]"
383,23.6875,1010.24,"[9.7282, -0.470719, -0.0784532]"
384,23.1875,1010.5,"[9.57129, -0.196133, -0.353039]"
385,23.6875,1010.25,"[9.7282, -0.470719, 0.0]"
386,23.1875,1010.49,"[9.57129, -0.0392266, -0.23536]"
387,23.6875,1010.24,"[9.61051, -0.353039, 0.0]"
388,23.25,1010.49,"[9.53206, -0.0392266, -0.196133]"
389,23.6875,1010.25,"[9.76742, -0.392266, -0.0784532]"
390,23.6875,1010.24,"[9.80664, -0.509946, -0.0392266]"
391,23.6875,1010.25,"[9.68897, -0.470719, -0.11768]"
392,23.75,1010.25,"[9.76742, -0.509946, -0.0784532]"
393,23.6875,1010.25,"[9.84587, -0.431492, -0.0784532]"
394,23.6875,1010.25,"[9.76742, -0.470719, -0.0784532]"
395,23.6875,1010.25,"[9.80664, -0.470719, -0.156906]"
396,23.6875,1010.25,"[9.7282, -0.392266, -0.156906]"
397,23.75,1010.25,"[9.80664, -0.470719, -0.11768]"
398,23.75,1010.24,"[9.76742, -0.431492, 0.0]"
399,23.6875,1010.25,"[9.84587, -0.392266, -0.0784532]"
400,23.6875,1010.26,"[9.76742, -0.470719, -0.11768]"
401,23.75,1010.25,"[9.84587, -0.11768, -0.11768]"
402,23.6875,1010.25,"[9.64974, -0.588399, -0.0784532]"
403,23.75,1010.25,"[9.76742, -0.431492, 0.0]"
404,23.6875,1010.25,"[9.76742, -0.509946, -0.11768]"
405,23.6875,1010.25,"[9.7282, -0.509946, -0.0392266]"
406,23.6875,1010.25,"[9.7282, -0.470719, -0.196133]"
407,23.6875,1010.25,"[9.76742, -0.431492, -0.0392266]"
408,23.6875,1010.26,"[9.57129, -0.392266, -0.0784532]"
409,23.75,1010.23,"[9.76742, -0.353039, 0.0392266]"
410,23.25,1010.5,"[9.53206, -0.11768, -0.196133]"
411,23.6875,1010.24,"[9.7282, -0.470719, -0.11768]"
412,23.6875,1010.23,"[9.76742, -0.470719, -0.0392266]"
413,23.6875,1010.23,"[9.76742, -0.509946, -0.11768]"
414,23.6875,1010.24,"[9.76742, -0.392266, 0.0392266]"
415,23.6875,1010.24,"[9.76742, -0.392266, -0.0784532]"
416,23.6875,1010.25,"[9.64974, -0.509946, -0.0784532]"
417,23.6875,1010.26,"[9.7282, -0.313813, 0.0392266]"
418,23.1875,1010.5,"[9.41438, 0.0, -0.156906]"
419,23.3125,1010.5,"[9.57129, -0.11768, -0.196133]"
420,23.6875,1010.25,"[9.8851, -0.431492, -0.11768]"
421,23.3125,1010.51,"[9.45361, -0.0784532, -0.23536]"
422,23.6875,1010.25,"[9.76742, -0.392266, -0.0392266]"
423,23.25,1010.5,"[9.57129, -0.11768, -0.196133]"
424,23.6875,1010.26,"[9.84587, -0.431492, -0.156906]"
425,23.25,1010.5,"[9.49284, -0.156906, -0.196133]"
426,23.6875,1010.26,"[9.7282, -0.431492, -0.0392266]"
427,23.25,1010.5,"[9.49284, -0.0392266, -0.196133]"
428,23.625,1010.26,"[9.7282, -0.470719, -0.156906]"
429,23.25,1010.51,"[9.61051, -0.156906, -0.274586]"
430,23.6875,1010.26,"[9.80664, -0.431492, -0.196133]"
431,23.25,1010.51,"[9.53206, -0.11768, -0.274586]"
432,23.6875,1010.26,"[9.7282, -0.470719, -0.0392266]"
433,23.25,1010.5,"[9.49284, -0.11768, -0.196133]"
434,23.6875,1010.25,"[9.7282, -0.588399, 0.0392266]"
435,23.25,1010.51,"[9.45361, -0.11768, -0.23536]"
436,23.6875,1010.26,"[9.80664, -0.431492, -0.0784532]"
437,23.25,1010.51,"[9.49284, -0.0784532, -0.156906]"
438,23.6875,1010.26,"[9.7282, -0.431492, -0.0784532]"
439,23.25,1010.5,"[9.53206, -0.0392266, -0.274586]"
440,23.6875,1010.26,"[9.80664, -0.392266, -0.156906]"
441,23.3125,1010.51,"[9.49284, -0.0784532, -0.23536]"
442,23.6875,1010.26,"[9.76742, -0.431492, -0.0784532]"
443,23.6875,1010.26,"[9.76742, -0.627625, -0.0392266]"
444,23.3125,1010.51,"[9.53206, -0.156906, -0.196133]"
445,23.6875,1010.26,"[9.76742, -0.392266, 0.0]"
446,23.25,1010.51,"[9.53206, -0.156906, -0.23536]"
447,23.75,1010.26,"[9.80664, -0.509946, -0.0392266]"
448,23.3125,1010.51,"[9.57129, -0.0392266, -0.274586]"
449,23.6875,1010.26,"[9.80664, -0.470719, -0.0784532]"
450,23.75,1010.26,"[9.80664, -0.431492, -0.0784532]"
451,23.3125,1010.51,"[9.57129, -0.0392266, -0.156906]"
452,23.6875,1010.26,"[9.80664, -0.509946, -0.156906]"
453,23.6875,1010.26,"[9.68897, -0.470719, -0.156906]"
454,23.25,1010.51,"[9.53206, -0.0784532, -0.11768]"
455,23.6875,1010.26,"[9.7282, -0.470719, -0.11768]"
456,23.25,1010.51,"[9.49284, -0.11768, -0.156906]"
457,23.75,1010.26,"[9.68897, -0.470719, -0.11768]"
458,23.75,1010.26,"[9.76742, -0.313813, 0.196133]"
459,23.3125,1010.51,"[9.53206, -0.11768, -0.196133]"
460,23.75,1010.26,"[9.80664, -0.470719, 0.0392266]"
461,23.25,1010.51,"[9.45361, -0.156906, -0.274586]"
462,23.75,1010.26,"[9.76742, -0.392266, -0.11768]"
463,23.3125,1010.51,"[9.45361, -0.11768, -0.156906]"
464,23.75,1010.26,"[9.80664, -0.392266, -0.0392266]"
465,23.3125,1010.51,"[9.57129, -0.313813, -0.23536]"
466,23.6875,1010.26,"[9.68897, -0.470719, -0.0392266]"
467,23.3125,1010.51,"[9.57129, -0.11768, -0.23536]"
468,23.6875,1010.26,"[9.76742, -0.392266, -0.11768]"
469,23.3125,1010.51,"[9.61051, -0.156906, -0.23536]"
470,23.75,1010.26,"[9.7282, -0.509946, -0.0784532]"
471,23.3125,1010.51,"[9.53206, -0.0784532, -0.196133]"
472,23.75,1010.26,"[9.80664, -0.431492, -0.0784532]"
473,23.3125,1010.51,"[9.53206, -0.156906, -0.274586]"
474,23.75,1010.26,"[9.7282, -0.431492, -0.156906]"
475,23.3125,1010.51,"[9.49284, -0.11768, -0.274586]"
476,23.6875,1010.26,"[9.68897, -0.392266, -0.11768]"
477,23.3125,1010.51,"[9.49284, -0.0392266, -0.23536]"
478,23.6875,1010.26,"[9.68897, -0.470719, -0.11768]"
479,23.3125,1010.51,"[9.61051, -0.11768, -0.274586]"
480,23.75,1010.26,"[9.80664, -0.431492, -0.0784532]"
481,23.3125,1010.51,"[9.53206, -0.0784532, -0.156906]"
482,23.6875,1010.26,"[9.84587, -0.549172, -0.11768]"
483,23.3125,1010.51,"[9.61051, -0.11768, -0.156906]"
484,23.75,1010.26,"[9.64974, -0.431492, -0.0784532]"
485,23.25,1010.51,"[9.49284, -0.11768, -0.196133]"
486,23.75,1010.26,"[9.84587, -0.470719, -0.156906]"
487,23.3125,1010.52,"[9.53206, -0.11768, -0.156906]"
488,23.75,1010.27,"[9.84587, -0.509946, 0.0]"
489,23.3125,1010.51,"[9.53206, -0.0784532, -0.156906]"
490,23.75,1010.27,"[9.7282, -0.509946, -0.11768]"
491,23.3125,1010.51,"[9.53206, -0.0392266, -0.392266]"
492,23.75,1010.26,"[9.7282, -0.470719, 0.0]"
493,23.3125,1010.51,"[9.61051, -0.0784532, -0.274586]"
494,23.75,1010.26,"[9.76742, -0.392266, -0.0784532]"
495,23.3125,1010.51,"[9.37515, -0.23536, -0.313813]"
496,23.75,1010.27,"[9.7282, -0.392266, -0.156906]"
497,23.3125,1010.51,"[9.49284, -0.0784532, -0.156906]"
498,23.75,1010.26,"[9.7282, -0.392266, -0.156906]"
499,23.75,1010.26,"[9.7282, -0.431492, -0.0784532]"
500,23.375,1010.51,"[9.61051, -0.11768, -0.156906]"
501,23.8125,1010.26,"[9.80664, -0.431492, -0.156906]"
502,23.375,1010.51,"[9.53206, -0.0392266, -0.274586]"
503,23.375,1010.51,"[9.49284, -0.11768, -0.156906]"
504,23.375,1010.51,"[9.49284, -0.0784532, -0.23536]"
505,23.6875,1010.26,"[9.7282, -0.470719, -0.11768]"
506,23.3125,1010.51,"[9.53206, -0.11768, -0.196133]"
507,23.75,1010.26,"[9.7282, -0.470719, -0.0784532]"
508,23.3125,1010.52,"[9.61051, -0.0784532, -0.196133]"
509,23.75,1010.29,"[9.80664, -0.549172, -0.0392266]"
510,23.375,1010.55,"[9.53206, -0.0784532, -0.196133]"
511,23.8125,1010.31,"[9.7282, -0.470719, -0.0784532]"
512,23.375,1010.56,"[9.57129, -0.0784532, -0.196133]"
513,23.8125,1010.31,"[9.76742, -0.470719, 0.0]"
514,23.3125,1010.56,"[9.53206, -0.11768, -0.23536]"
515,23.8125,1010.3,"[9.84587, -0.431492, 0.0]"
516,23.3125,1010.55,"[9.61051, 0.0, -0.156906]"
517,23.8125,1010.31,"[9.80664, -0.549172, -0.0784532]"
518,23.3125,1010.55,"[9.57129, -0.11768, -0.156906]"
519,23.8125,1010.3,"[9.68897, -0.470719, -0.196133]"
520,23.3125,1010.55,"[9.61051, -0.11768, -0.274586]"
521,23.75,1010.3,"[9.76742, -0.470719, -0.0784532]"
522,23.3125,1010.54,"[9.53206, -0.11768, -0.156906]"
523,23.8125,1010.3,"[9.7282, -0.392266, 0.0]"
524,23.3125,1010.54,"[9.45361, -0.0784532, -0.156906]"
525,23.75,1010.27,"[9.68897, -0.470719, -0.11768]"
526,23.375,1010.51,"[9.41438, -0.11768, -0.196133]"
527,23.75,1010.27,"[9.80664, -0.509946, -0.23536]"
528,23.3125,1010.51,"[9.49284, -0.11768, -0.23536]"
529,23.8125,1010.26,"[9.7282, -0.549172, -0.156906]"
530,23.375,1010.52,"[9.49284, -0.0784532, -0.196133]"
531,23.8125,1010.26,"[9.80664, -0.549172, -0.11768]"
532,23.3125,1010.52,"[9.57129, -0.0784532, -0.274586]"
533,23.8125,1010.26,"[9.80664, -0.353039, -0.0392266]"
534,23.375,1010.52,"[9.57129, -0.156906, -0.156906]"
535,23.8125,1010.26,"[9.76742, -0.392266, -0.0392266]"
536,23.3125,1010.51,"[9.53206, -0.156906, -0.274586]"
537,23.8125,1010.26,"[9.84587, -0.509946, 0.0]"
538,23.3125,1010.51,"[9.53206, -0.11768, -0.23536]"
539,23.8125,1010.26,"[9.68897, -0.470719, -0.0784532]"
540,23.375,1010.51,"[9.53206, -0.0784532, -0.313813]"
541,23.8125,1010.27,"[9.7282, -0.392266, -0.0784532]"
542,23.375,1010.52,"[9.53206, -0.11768, -0.274586]"
543,23.8125,1010.29,"[9.76742, -0.549172, -0.0784532]"
544,23.375,1010.54,"[9.53206, -0.156906, -0.11768]"
545,23.8125,1010.29,"[9.68897, -0.431492, -0.11768]"
546,23.3125,1010.54,"[9.49284, -0.196133, -0.156906]"
547,23.75,1010.29,"[9.80664, -0.470719, -0.0392266]"
548,23.3125,1010.53,"[9.49284, -0.0784532, -0.23536]"
549,23.8125,1010.26,"[9.76742, -0.470719, -0.11768]"
550,23.375,1010.51,"[9.53206, -0.0784532, -0.156906]"
551,23.8125,1010.26,"[9.8851, -0.313813, -0.156906]"
552,23.375,1010.51,"[9.45361, -0.0784532, -0.23536]"
553,23.75,1010.26,"[9.76742, -0.470719, 0.0]"
554,23.3125,1010.51,"[9.45361, -0.0784532, -0.156906]"
555,23.8125,1010.26,"[9.80664, -0.470719, -0.0784532]"
556,23.3125,1010.55,"[9.53206, -0.0784532, -0.196133]"
557,23.75,1010.26,"[9.64974, -0.431492, 0.0]"
558,23.375,1010.5,"[9.53206, -0.156906, -0.196133]"
559,23.8125,1010.26,"[9.76742, -0.470719, -0.0784532]"
560,23.375,1010.51,"[9.53206, -0.11768, -0.196133]"
561,23.8125,1010.25,"[9.80664, -0.392266, -0.0392266]"
562,23.3125,1010.51,"[9.53206, -0.11768, -0.196133]"
563,23.75,1010.26,"[9.76742, -0.470719, -0.156906]"
564,23.375,1010.5,"[9.53206, -0.156906, -0.196133]"
565,23.8125,1010.25,"[9.7282, -0.509946, 0.0784532]"
566,23.375,1010.5,"[9.57129, -0.23536, -0.274586]"
567,23.8125,1010.26,"[9.68897, -0.470719, -0.11768]"
568,23.3125,1010.5,"[9.33593, 0.0392266, -0.156906]"
569,23.8125,1010.25,"[9.76742, -0.392266, -0.0392266]"
570,23.375,1010.5,"[9.45361, -0.0392266, -0.627625]"
571,23.8125,1010.26,"[9.68897, -0.431492, 0.0392266]"
572,23.375,1010.51,"[9.53206, -0.0392266, -0.274586]"
573,23.8125,1010.26,"[9.76742, -0.470719, -0.0784532]"
574,23.375,1010.51,"[9.49284, -0.0392266, -0.156906]"
575,23.8125,1010.26,"[10.1205, -0.470719, -0.11768]"
576,23.375,1010.53,"[9.41438, -0.11768, -0.23536]"
577,23.8125,1010.27,"[9.76742, -0.470719, -0.11768]"
578,23.3125,1010.5,"[9.49284, -0.11768, -0.196133]"
579,23.8125,1010.26,"[9.68897, -0.509946, 0.0784532]"
580,23.375,1010.5,"[9.61051, -0.0784532, -0.274586]"
581,23.8125,1010.26,"[9.84587, -0.509946, -0.156906]"
582,23.3125,1010.5,"[9.49284, -0.0784532, -0.196133]"
583,23.8125,1010.25,"[9.80664, -0.470719, -0.11768]"
584,23.3125,1010.5,"[9.53206, -0.0784532, -0.156906]"
585,23.8125,1010.25,"[9.68897, -0.470719, -0.156906]"
586,23.3125,1010.5,"[9.57129, -0.11768, -0.274586]"
587,23.8125,1010.26,"[9.7282, -0.353039, -0.0392266]"
588,23.375,1010.5,"[9.53206, -0.0392266, -0.313813]"
589,23.8125,1010.26,"[9.76742, -0.431492, -0.0784532]"
590,23.375,1010.5,"[9.49284, -0.0784532, -0.274586]"
591,23.875,1010.26,"[9.7282, -0.392266, -0.0784532]"
592,23.375,1010.5,"[9.49284, -0.156906, -0.23536]"
593,23.8125,1010.26,"[9.68897, -0.353039, -0.0392266]"
594,23.3125,1010.51,"[9.45361, 0.0, -0.23536]"
595,23.875,1010.26,"[9.76742, -0.470719, -0.0784532]"
596,23.3125,1010.51,"[9.53206, -0.0784532, -0.156906]"
597,23.8125,1010.26,"[9.80664, -0.509946, -0.0784532]"
598,23.3125,1010.52,"[9.49284, -0.0392266, -0.313813]"
599,23.8125,1010.27,"[9.7282, -0.431492, 0.0]"
600,23.3125,1010.52,"[9.53206, -0.11768, -0.274586]"
601,23.875,1010.27,"[9.76742, -0.509946, -0.0784532]"
602,23.3125,1010.52,"[9.57129, -0.11768, -0.274586]"
603,23.875,1010.27,"[9.80664, -0.509946, -0.0784532]"
604,23.3125,1010.52,"[9.57129, -0.0784532, -0.23536]"
605,23.875,1010.27,"[9.68897, -0.549172, -0.0784532]"
606,23.3125,1010.52,"[9.57129, 0.0, -0.23536]"
607,23.875,1010.27,"[9.7282, -0.392266, 0.0]"
608,23.3125,1010.52,"[9.53206, -0.156906, -0.196133]"
609,23.875,1010.27,"[9.76742, -0.470719, -0.11768]"
610,23.375,1010.51,"[9.49284, -0.11768, -0.156906]"
611,23.9375,1010.27,"[9.7282, -0.470719, -0.0392266]"
612,23.375,1010.52,"[9.49284, -0.0784532, -0.23536]"
